Category,Brand_ID,Price_USD,Target_Gender,Main_Color,Main_Metal,Main_Gem
jewelry.ring,0.0,112.29,f,red,gold,diamond
jewelry.earring,1.0,1424.07,f,red,gold,diamond
jewelry.earring,0.0,257.4,f,white,gold,fianit
jewelry.earring,1.0,180.68,f,red,gold,diamond
jewelry.earring,0.0,161.51,f,white,gold,diamond
jewelry.earring,2.0,132.84,f,red,gold,agate
jewelry.earring,2.0,116.4,f,red,gold,mix
jewelry.bracelet,1.0,812.58,f,red,gold,diamond
jewelry.ring,1.0,157.4,f,red,gold,garnet
jewelry.pendant,1.0,13.32,f,red,silver,fianit
jewelry.pendant,1.0,232.74,f,red,gold,diamond
jewelry.earring,1.0,636.85,f,red,gold,diamond
jewelry.earring,1.0,153.48,f,red,gold,quartz_smoky
jewelry.ring,1.0,180.78,f,white,gold,pearl
jewelry.earring,1.0,212.19,f,yellow,gold,garnet
jewelry.ring,1.0,116.3,f,yellow,gold,garnet
jewelry.bracelet,1.0,588.9,f,red,gold,diamond
jewelry.pendant,4.0,248.26,f,red,silver,diamond
jewelry.earring,0.0,150.55,f,red,gold,diamond
jewelry.ring,2.0,171.25,f,red,gold,fianit
jewelry.ring,0.0,130.0,f,white,gold,topaz
jewelry.earring,0.0,77.0,f,white,gold,fianit
jewelry.ring,0.0,76.44,f,red,gold,diamond
jewelry.pendant,0.0,57.49,f,red,gold,pearl
jewelry.bracelet,0.0,335.48,f,yellow,gold,garnet
jewelry.ring,1.0,200.85,f,white,gold,diamond
jewelry.ring,1.0,150.55,f,red,gold,diamond
jewelry.ring,2.0,171.25,f,red,gold,fianit
jewelry.pendant,0.0,0.99,f,red,silver,fianit
jewelry.pendant,4.0,1.03,f,red,silver,fianit
jewelry.necklace,0.0,417.67,f,red,gold,amethyst
jewelry.pendant,4.0,1.07,f,red,silver,fianit
jewelry.pendant,1.0,54.66,f,white,gold,sapphire
jewelry.ring,1.0,205.34,f,red,gold,pearl
jewelry.ring,1.0,205.34,f,red,gold,pearl
jewelry.earring,1.0,239.59,f,red,gold,pearl
jewelry.pendant,2.0,45.21,f,red,gold,pearl
jewelry.earring,1.0,228.73,f,red,gold,topaz
jewelry.bracelet,1.0,275.38,f,red,gold,diamond
jewelry.earring,1.0,266.99,f,red,gold,topaz
jewelry.pendant,0.0,1.05,f,red,silver,fianit
jewelry.pendant,2.0,44.07,f,red,gold,amethyst
jewelry.ring,2.0,280.68,f,red,gold,diamond
jewelry.ring,1.0,397.12,f,white,gold,diamond
jewelry.pendant,0.0,271.04,f,red,gold,diamond
jewelry.earring,2.0,616.3,f,red,gold,diamond
jewelry.necklace,0.0,1188.9,f,red,gold,diamond
jewelry.earring,0.0,349.18,f,red,gold,topaz
jewelry.ring,0.0,1199.96,f,yellow,gold,diamond
jewelry.earring,0.0,410.93,f,white,gold,diamond
jewelry.pendant,1.0,54.66,f,white,gold,sapphire
jewelry.earring,0.0,184.79,f,white,gold,topaz
jewelry.pendant,1.0,35.84,f,red,gold,diamond
jewelry.bracelet,4.0,6.47,f,red,silver,diamond
jewelry.earring,1.0,864.62,f,red,gold,diamond
jewelry.earring,1.0,1044.84,f,red,gold,diamond
jewelry.pendant,0.0,51.92,f,red,gold,diamond
jewelry.pendant,1.0,239.59,f,white,gold,diamond
jewelry.bracelet,5.0,152.77,f,red,silver,diamond
jewelry.ring,1.0,103.48,f,red,gold,fianit
jewelry.earring,1.0,159.04,f,red,gold,diamond
jewelry.ring,1.0,313.7,f,red,gold,mix
jewelry.ring,0.0,76.44,f,white,gold,fianit
jewelry.pendant,4.0,221.85,f,red,silver,fianit
jewelry.earring,1.0,130.77,f,red,gold,amethyst
jewelry.pendant,4.0,216.55,f,red,silver,diamond
jewelry.earring,1.0,103.95,f,red,gold,diamond
jewelry.bracelet,0.0,106.81,f,red,gold,pearl
jewelry.ring,1.0,161.74,f,yellow,gold,citrine
jewelry.earring,0.0,268.12,f,red,gold,diamond
jewelry.pendant,1.0,123.15,f,red,gold,diamond
jewelry.ring,1.0,390.27,f,red,gold,diamond
jewelry.ring,1.0,410.82,f,red,gold,diamond
jewelry.bracelet,1.0,506.71,f,red,gold,topaz
jewelry.ring,1.0,153.29,f,red,gold,fianit
jewelry.ring,1.0,397.12,f,white,gold,diamond
jewelry.earring,0.0,417.67,f,red,gold,diamond
jewelry.pendant,0.0,177.95,f,red,gold,diamond
jewelry.earring,1.0,287.53,f,red,gold,fianit
jewelry.earring,0.0,199.86,f,red,gold,fianit
jewelry.ring,0.0,239.59,f,red,gold,fianit
jewelry.ring,0.0,191.64,f,yellow,gold,diamond
jewelry.brooch,0.0,6.71,f,red,silver,fianit
jewelry.earring,0.0,238.22,f,red,gold,fianit
jewelry.ring,0.0,158.77,f,red,gold,fianit
jewelry.earring,0.0,238.22,f,red,gold,fianit
jewelry.bracelet,0.0,1076.58,f,red,gold,diamond
jewelry.pendant,0.0,136.85,f,white,gold,diamond
jewelry.pendant,1.0,536.26,f,red,gold,diamond
jewelry.earring,0.0,138.32,f,red,gold,topaz
jewelry.earring,1.0,321.78,f,red,gold,topaz
jewelry.ring,0.0,308.08,f,red,gold,diamond
jewelry.earring,1.0,64.49,f,red,gold,fianit
jewelry.earring,1.0,1123.25,f,white,gold,diamond
jewelry.pendant,0.0,109.45,f,red,gold,topaz
jewelry.ring,3.0,4.34,f,red,silver,fianit
jewelry.ring,3.0,6.58,f,red,silver,fianit
jewelry.pendant,1.0,165.62,f,red,gold,diamond
jewelry.bracelet,0.0,779.81,f,red,gold,diamond
jewelry.earring,0.0,143.7,f,red,gold,diamond
jewelry.souvenir,0.0,102.6,f,red,silver,diamond
jewelry.souvenir,0.0,102.6,f,red,silver,diamond
jewelry.souvenir,0.0,102.6,f,red,silver,diamond
jewelry.ring,0.0,79.32,f,white,gold,topaz
jewelry.earring,0.0,294.38,f,red,gold,diamond
jewelry.ring,2.0,342.33,f,red,gold,diamond
jewelry.pendant,0.0,38.79,f,red,gold,diamond
jewelry.souvenir,2.0,76.6,f,red,silver,diamond
jewelry.pendant,1.0,68.36,f,red,gold,fianit
jewelry.ring,0.0,119.77,f,red,gold,diamond
jewelry.pendant,1.0,49.18,f,red,gold,diamond
jewelry.earring,0.0,238.22,f,red,gold,diamond
jewelry.earring,0.0,130.0,f,red,gold,diamond
jewelry.ring,1.0,232.74,f,red,gold,topaz
jewelry.earring,1.0,250.55,f,red,gold,fianit
jewelry.bracelet,0.0,505.34,f,red,gold,diamond
jewelry.bracelet,0.0,554.66,f,red,gold,emerald
jewelry.earring,0.0,1075.21,f,red,gold,diamond
jewelry.ring,0.0,958.77,f,red,gold,diamond
jewelry.brooch,2.0,82.05,f,red,gold,diamond
jewelry.brooch,2.0,87.53,f,red,gold,diamond
jewelry.ring,3.0,118.36,f,red,silver,fianit
jewelry.ring,3.0,4.34,f,red,silver,fianit
jewelry.ring,3.0,4.9,f,red,silver,fianit
jewelry.earring,0.0,397.12,f,white,gold,diamond
jewelry.ring,2.0,219.04,f,red,gold,pearl
jewelry.pendant,2.0,95.75,f,red,gold,topaz
jewelry.ring,0.0,75.21,f,red,gold,topaz
jewelry.earring,1.0,513.56,f,white,gold,diamond
jewelry.necklace,0.0,220.11,f,red,gold,fianit
jewelry.earring,1.0,186.37,f,red,gold,fianit
jewelry.pendant,4.0,216.55,f,red,silver,diamond
jewelry.ring,0.0,239.59,f,red,gold,fianit
jewelry.ring,0.0,336.95,f,red,gold,diamond
jewelry.ring,0.0,260.14,f,red,gold,topaz
jewelry.ring,0.0,149.18,f,red,gold,fianit
jewelry.ring,0.0,149.18,f,red,gold,fianit
jewelry.ring,2.0,698.49,f,white,gold,diamond
jewelry.earring,2.0,732.74,f,white,gold,diamond
jewelry.pendant,1.0,643.7,f,red,gold,diamond
jewelry.earring,2.0,143.7,f,red,gold,topaz
jewelry.earring,0.0,484.79,f,red,gold,diamond
jewelry.pendant,1.0,42.33,f,red,gold,diamond
jewelry.pendant,4.0,216.55,f,red,silver,diamond
jewelry.pendant,0.0,69.73,f,red,gold,diamond
jewelry.earring,0.0,54.66,f,white,gold,amethyst
jewelry.ring,0.0,321.78,f,red,gold,diamond
jewelry.ring,1.0,66.99,f,red,gold,diamond
jewelry.pendant,1.0,151.92,f,red,gold,diamond
jewelry.ring,2.0,273.84,f,red,gold,diamond
jewelry.earring,0.0,130.0,f,red,gold,diamond
jewelry.ring,0.0,188.7,f,white,gold,diamond
jewelry.ring,1.0,291.74,f,white,gold,diamond
jewelry.earring,0.0,239.59,f,red,gold,sapphire
jewelry.ring,0.0,133.55,f,red,gold,diamond
jewelry.pendant,2.0,125.32,f,red,gold,garnet
jewelry.earring,0.0,671.1,f,red,gold,diamond
jewelry.ring,3.0,6.58,f,red,silver,fianit
jewelry.earring,0.0,91.64,f,red,gold,fianit
jewelry.earring,0.0,86.16,f,red,gold,fianit
jewelry.ring,3.0,2.6,f,red,silver,diamond
jewelry.ring,0.0,273.84,f,red,gold,garnet
jewelry.earring,0.0,438.33,f,red,gold,garnet
jewelry.bracelet,1.0,657.4,f,red,gold,diamond
jewelry.pendant,0.0,123.15,f,red,gold,quartz
jewelry.ring,0.0,133.55,f,red,gold,diamond
jewelry.ring,0.0,194.73,f,red,gold,diamond
jewelry.earring,1.0,246.44,f,white,gold,sapphire
jewelry.ring,0.0,82.05,f,red,gold,garnet
jewelry.earring,0.0,131.48,f,red,gold,garnet
jewelry.brooch,0.0,6.71,f,red,silver,fianit
jewelry.bracelet,0.0,1520.41,f,yellow,gold,topaz
jewelry.ring,0.0,242.05,f,white,gold,diamond
jewelry.earring,0.0,335.48,f,red,gold,diamond
jewelry.ring,0.0,273.84,f,red,gold,diamond
jewelry.ring,0.0,445.07,f,white,gold,diamond
jewelry.pendant,0.0,143.7,f,red,gold,pearl
jewelry.souvenir,0.0,6.71,f,red,silver,diamond
jewelry.pendant,1.0,260.14,f,red,gold,diamond
jewelry.ring,1.0,38.59,f,red,gold,diamond
jewelry.earring,0.0,335.48,f,red,gold,diamond
jewelry.ring,1.0,917.67,f,white,gold,diamond
jewelry.pendant,0.0,273.84,f,white,gold,diamond
jewelry.brooch,0.0,6.71,f,red,silver,fianit
jewelry.ring,0.0,254.66,f,red,gold,fianit
jewelry.ring,2.0,273.84,f,red,gold,diamond
jewelry.ring,0.0,138.22,f,white,gold,fianit
jewelry.ring,0.0,1020.41,f,white,gold,diamond
jewelry.earring,1.0,517.67,f,red,gold,fianit
jewelry.ring,0.0,431.37,f,red,gold,diamond
jewelry.ring,0.0,521.78,f,red,gold,fianit
jewelry.earring,1.0,787.53,f,white,gold,diamond
jewelry.ring,0.0,595.75,f,yellow,gold,diamond
jewelry.ring,0.0,212.19,f,red,gold,topaz
jewelry.ring,1.0,143.7,f,yellow,gold,amethyst
jewelry.ring,1.0,232.74,f,red,gold,diamond
jewelry.ring,1.0,266.99,f,red,gold,diamond
jewelry.ring,1.0,184.79,f,red,gold,fianit
jewelry.ring,0.0,335.48,f,red,gold,diamond
jewelry.earring,0.0,379.41,f,red,gold,diamond
jewelry.ring,0.0,493.01,f,red,gold,diamond
jewelry.ring,1.0,568.36,f,yellow,gold,diamond
jewelry.bracelet,0.0,1195.75,f,red,gold,fianit
jewelry.bracelet,0.0,205.34,f,red,gold,fianit
jewelry.ring,1.0,134.11,f,red,gold,fianit
jewelry.earring,0.0,362.88,f,red,gold,amber
jewelry.pendant,0.0,136.85,f,red,gold,diamond
jewelry.ring,1.0,636.85,f,red,gold,diamond
jewelry.earring,0.0,561.51,f,red,gold,diamond
jewelry.ring,1.0,266.99,f,red,gold,topaz
jewelry.earring,0.0,84.62,f,red,gold,fianit
jewelry.earring,0.0,177.95,f,red,gold,pearl
jewelry.ring,2.0,125.89,f,white,gold,diamond
jewelry.ring,0.0,259.97,f,red,gold,diamond
jewelry.ring,0.0,259.97,f,red,gold,diamond
jewelry.ring,0.0,259.97,f,red,gold,diamond
jewelry.ring,1.0,329.77,f,red,gold,diamond
jewelry.pendant,2.0,82.05,f,red,gold,ruby
jewelry.earring,0.0,177.95,f,red,gold,fianit
jewelry.ring,1.0,568.36,f,yellow,gold,diamond
jewelry.ring,0.0,595.75,f,yellow,gold,diamond
jewelry.pendant,1.0,321.78,f,red,gold,emerald
jewelry.pendant,1.0,53.38,f,red,gold,fianit
jewelry.earring,0.0,328.63,f,red,gold,diamond
jewelry.earring,0.0,828.63,f,red,gold,diamond
jewelry.pendant,1.0,121.78,f,red,gold,diamond
jewelry.earring,1.0,60.08,f,red,gold,diamond
jewelry.pendant,1.0,65.62,f,red,gold,fianit
jewelry.pendant,1.0,73.84,f,red,gold,fianit
jewelry.ring,0.0,209.81,f,red,gold,diamond
jewelry.earring,1.0,198.49,f,red,gold,fianit
jewelry.pendant,1.0,121.78,f,red,gold,diamond
jewelry.ring,0.0,102.6,f,white,gold,diamond
jewelry.ring,0.0,347.81,f,red,gold,fianit
jewelry.pendant,0.0,109.45,f,red,gold,topaz
jewelry.bracelet,0.0,162.88,f,red,gold,fianit
jewelry.ring,0.0,595.75,f,yellow,gold,diamond
jewelry.ring,2.0,369.73,f,red,gold,diamond
jewelry.earring,0.0,234.11,f,white,gold,diamond
jewelry.ring,1.0,172.05,f,red,gold,mix
jewelry.pendant,1.0,107.51,f,red,gold,garnet
jewelry.earring,0.0,253.29,f,yellow,gold,diamond
jewelry.pendant,1.0,239.59,f,red,gold,diamond
jewelry.pendant,1.0,1602.6,f,red,gold,mix
jewelry.pendant,1.0,1602.6,f,red,gold,mix
jewelry.pendant,1.0,239.59,f,red,gold,diamond
jewelry.earring,1.0,193.11,f,red,gold,pearl
jewelry.earring,0.0,328.63,f,red,gold,pearl
jewelry.earring,0.0,328.63,f,red,gold,pearl
jewelry.earring,0.0,157.4,f,red,gold,pearl
jewelry.ring,0.0,451.92,f,red,gold,diamond
jewelry.ring,0.0,133.55,f,red,gold,diamond
jewelry.bracelet,1.0,182.15,f,red,gold,mix
jewelry.pendant,0.0,197.22,f,red,gold,diamond
jewelry.pendant,0.0,417.67,f,yellow,gold,topaz
jewelry.earring,0.0,663.26,f,yellow,gold,topaz
jewelry.ring,0.0,138.22,f,white,gold,fianit
jewelry.ring,0.0,254.66,f,red,gold,fianit
jewelry.ring,0.0,347.81,f,red,gold,fianit
jewelry.earring,0.0,175.3,f,red,gold,amethyst
jewelry.earring,1.0,91.64,f,red,gold,fianit
jewelry.earring,1.0,65.71,f,yellow,gold,mix
jewelry.pendant,1.0,72.47,f,red,gold,fianit
jewelry.pendant,1.0,49.29,f,red,gold,topaz
jewelry.earring,0.0,42.59,f,red,gold,fianit
jewelry.ring,1.0,89.0,f,yellow,gold,chrysolite
jewelry.ring,1.0,431.37,f,red,gold,diamond
jewelry.bracelet,0.0,246.44,f,white,gold,topaz
jewelry.ring,1.0,145.25,f,red,gold,fianit
jewelry.ring,0.0,287.53,f,red,gold,sapphire
jewelry.earring,0.0,308.08,f,red,gold,sapphire
jewelry.bracelet,0.0,64.73,f,red,gold,diamond
jewelry.earring,1.0,320.96,f,white,gold,diamond
jewelry.ring,0.0,521.78,f,red,gold,fianit
jewelry.pendant,2.0,60.14,f,red,gold,diamond
jewelry.pendant,1.0,64.68,f,red,gold,fianit
jewelry.ring,2.0,260.14,f,red,gold,diamond
jewelry.ring,2.0,232.74,f,red,gold,diamond
jewelry.necklace,1.0,369.73,f,red,gold,pearl
jewelry.earring,1.0,138.22,f,red,gold,diamond
jewelry.ring,0.0,177.95,f,red,gold,diamond
jewelry.bracelet,0.0,176.67,f,red,gold,topaz
jewelry.earring,0.0,316.3,f,white,gold,fianit
jewelry.earring,2.0,154.66,f,red,gold,diamond
jewelry.pendant,1.0,150.55,f,red,gold,diamond
jewelry.pendant,4.0,3.97,f,red,silver,fianit
jewelry.ring,1.0,136.85,f,red,gold,diamond
jewelry.earring,0.0,335.48,f,red,gold,quartz
jewelry.earring,1.0,51.08,f,red,gold,fianit
jewelry.ring,1.0,126.42,f,red,gold,diamond
jewelry.ring,1.0,126.42,f,red,gold,diamond
jewelry.ring,0.0,335.48,f,white,gold,diamond
jewelry.ring,1.0,266.99,f,red,gold,pearl
jewelry.necklace,1.0,369.73,f,red,gold,pearl
jewelry.ring,0.0,677.95,f,red,gold,diamond
jewelry.ring,0.0,253.29,f,red,gold,sapphire
jewelry.brooch,0.0,6.71,f,red,silver,fianit
jewelry.ring,0.0,184.79,f,red,gold,diamond
jewelry.earring,0.0,1349.18,f,yellow,gold,diamond
jewelry.earring,0.0,379.41,f,red,gold,diamond
jewelry.pendant,0.0,166.99,f,yellow,gold,diamond
jewelry.earring,1.0,321.88,f,red,gold,diamond
jewelry.earring,2.0,314.93,f,red,gold,diamond
jewelry.earring,0.0,101.23,f,red,gold,diamond
jewelry.pendant,1.0,980.64,f,red,gold,diamond
jewelry.pendant,0.0,130.0,f,red,gold,diamond
jewelry.earring,0.0,113.56,f,yellow,gold,diamond
jewelry.earring,1.0,320.96,f,white,gold,diamond
jewelry.ring,1.0,229.86,f,white,gold,diamond
jewelry.ring,0.0,766.99,f,red,gold,diamond
jewelry.ring,0.0,287.53,f,red,gold,diamond
jewelry.pendant,0.0,40.96,f,red,gold,sapphire
jewelry.earring,0.0,87.53,f,red,gold,diamond
jewelry.pendant,1.0,60.14,f,red,gold,diamond
jewelry.earring,0.0,130.0,f,red,gold,diamond
jewelry.earring,0.0,238.22,f,red,gold,diamond
jewelry.earring,0.0,177.95,f,red,gold,pearl
jewelry.earring,1.0,191.64,f,red,gold,pearl
jewelry.ring,1.0,630.0,f,red,gold,diamond
jewelry.ring,1.0,71.1,f,red,gold,fianit
jewelry.earring,0.0,308.08,f,red,gold,diamond
jewelry.ring,1.0,123.15,f,red,gold,fianit
jewelry.earring,1.0,534.11,f,red,gold,pearl
jewelry.earring,1.0,71.47,f,red,gold,fianit
jewelry.ring,1.0,257.49,f,red,gold,diamond
jewelry.ring,0.0,150.55,f,white,gold,diamond
jewelry.necklace,0.0,321.78,f,red,gold,diamond
jewelry.ring,1.0,82.05,f,red,gold,topaz
jewelry.pendant,1.0,54.62,f,red,gold,diamond
jewelry.earring,1.0,157.4,f,red,gold,diamond
jewelry.earring,0.0,37.26,f,red,gold,diamond
jewelry.earring,1.0,1177.95,f,red,gold,diamond
jewelry.earring,1.0,211.51,f,red,gold,diamond
jewelry.ring,0.0,280.68,f,white,gold,sapphire
jewelry.earring,0.0,211.78,f,red,gold,diamond
jewelry.earring,1.0,138.9,f,red,gold,diamond
jewelry.earring,2.0,317.67,f,red,gold,diamond
jewelry.pendant,0.0,75.21,f,red,gold,topaz
jewelry.ring,0.0,347.81,f,red,gold,fianit
jewelry.bracelet,2.0,609.45,f,red,gold,topaz
jewelry.necklace,0.0,1294.38,f,yellow,gold,diamond
jewelry.earring,1.0,102.7,f,red,gold,fianit
jewelry.earring,0.0,102.7,f,red,gold,fianit
jewelry.pendant,2.0,364.11,f,red,gold,diamond
jewelry.ring,2.0,311.37,f,red,gold,diamond
jewelry.earring,0.0,424.52,f,white,gold,diamond
jewelry.ring,0.0,225.89,f,white,gold,diamond
jewelry.earring,1.0,249.18,f,red,gold,diamond
jewelry.earring,0.0,246.44,f,red,gold,amethyst
jewelry.pendant,1.0,1630.14,f,red,gold,mix
jewelry.earring,2.0,814.93,f,red,gold,diamond
jewelry.ring,1.0,328.63,f,red,gold,diamond
jewelry.ring,0.0,200.45,f,red,gold,diamond
jewelry.ring,1.0,328.63,f,red,gold,diamond
jewelry.earring,1.0,451.92,f,red,gold,topaz
jewelry.ring,1.0,417.67,f,red,gold,topaz
jewelry.earring,0.0,410.82,f,white,gold,diamond
jewelry.earring,0.0,123.15,f,red,gold,topaz
jewelry.earring,0.0,42.42,f,red,gold,amethyst
jewelry.earring,0.0,157.4,f,red,gold,topaz
jewelry.brooch,0.0,6.71,f,red,silver,fianit
jewelry.ring,0.0,171.1,f,red,gold,pearl
jewelry.pendant,0.0,68.36,f,red,gold,garnet
jewelry.ring,2.0,369.73,f,red,gold,diamond
jewelry.ring,0.0,356.48,f,white,gold,sapphire
jewelry.ring,1.0,309.27,f,red,gold,diamond
jewelry.ring,0.0,184.79,f,red,gold,diamond
jewelry.earring,1.0,294.38,f,white,gold,topaz
jewelry.ring,0.0,502.03,f,white,gold,diamond
jewelry.pendant,2.0,171.1,f,red,gold,diamond
jewelry.ring,0.0,171.47,f,white,gold,diamond
jewelry.ring,2.0,123.15,f,white,gold,diamond
jewelry.earring,0.0,306.71,f,yellow,gold,diamond
jewelry.ring,0.0,316.3,f,white,gold,fianit
jewelry.ring,1.0,483.52,f,yellow,gold,diamond
jewelry.earring,1.0,511.51,f,yellow,gold,diamond
jewelry.ring,0.0,335.48,f,red,gold,diamond
jewelry.ring,0.0,200.45,f,red,gold,diamond
jewelry.ring,0.0,1020.41,f,white,gold,diamond
jewelry.ring,0.0,1199.96,f,yellow,gold,diamond
jewelry.ring,0.0,133.55,f,red,gold,diamond
jewelry.ring,0.0,182.66,f,red,gold,diamond
jewelry.earring,0.0,451.92,f,red,gold,diamond
jewelry.earring,0.0,177.95,f,white,gold,fianit
jewelry.earring,0.0,308.08,f,white,gold,sapphire
jewelry.pendant,1.0,143.7,f,red,gold,diamond
jewelry.pendant,1.0,51.49,f,red,gold,fianit
jewelry.ring,1.0,258.86,f,white,gold,topaz
jewelry.earring,0.0,83.42,f,white,gold,fianit
jewelry.earring,1.0,316.4,f,white,gold,topaz
jewelry.ring,0.0,239.59,f,red,gold,diamond
jewelry.ring,2.0,349.18,f,white,gold,diamond
jewelry.ring,0.0,246.44,f,red,gold,garnet
jewelry.earring,0.0,286.0,f,red,gold,garnet
jewelry.ring,0.0,171.1,f,red,gold,pearl
jewelry.ring,1.0,183.42,f,red,gold,diamond
jewelry.ring,0.0,451.92,f,red,gold,amethyst
jewelry.earring,0.0,1657.4,f,red,gold,diamond
jewelry.earring,2.0,285.58,f,red,gold,diamond
jewelry.earring,0.0,568.36,f,red,gold,diamond
jewelry.necklace,1.0,184.36,f,red,gold,topaz
jewelry.ring,1.0,220.95,f,red,gold,diamond
jewelry.ring,2.0,311.37,f,red,gold,diamond
jewelry.ring,0.0,273.84,f,red,gold,diamond
jewelry.earring,0.0,349.18,f,red,gold,garnet
jewelry.pendant,0.0,95.75,f,red,gold,garnet
jewelry.bracelet,0.0,9.49,f,red,silver,diamond
jewelry.earring,0.0,328.63,f,red,gold,pearl
jewelry.earring,1.0,175.96,f,red,gold,diamond
jewelry.earring,1.0,233.44,f,red,gold,diamond
jewelry.earring,1.0,211.51,f,red,gold,diamond
jewelry.earring,0.0,152.34,f,red,gold,diamond
jewelry.earring,1.0,175.93,f,red,gold,diamond
jewelry.earring,1.0,1536.27,f,red,gold,diamond
jewelry.earring,1.0,127.93,f,red,gold,diamond
jewelry.earring,0.0,636.85,f,red,gold,diamond
jewelry.earring,1.0,254.4,f,yellow,gold,diamond
jewelry.pendant,1.0,121.78,f,red,gold,diamond
jewelry.earring,0.0,127.26,f,red,gold,diamond
jewelry.ring,1.0,780.68,f,red,gold,diamond
jewelry.brooch,0.0,6.71,f,red,silver,fianit
jewelry.earring,2.0,410.82,f,red,gold,diamond
jewelry.earring,0.0,294.38,f,yellow,gold,fianit
jewelry.bracelet,1.0,316.3,f,red,gold,fianit
jewelry.bracelet,0.0,1195.75,f,red,gold,fianit
jewelry.ring,2.0,349.18,f,white,gold,diamond
jewelry.pendant,1.0,25.89,f,red,gold,fianit
jewelry.earring,1.0,66.78,f,red,gold,fianit
jewelry.pendant,1.0,106.71,f,red,gold,diamond
jewelry.brooch,0.0,27.67,f,red,gold,fianit
jewelry.earring,0.0,143.7,f,red,gold,fianit
jewelry.ring,1.0,67.77,f,red,gold,fianit
jewelry.ring,1.0,94.78,f,red,gold,fianit
jewelry.bracelet,1.0,525.03,f,red,gold,diamond
jewelry.necklace,1.0,198.49,f,red,gold,topaz
jewelry.pendant,0.0,39.59,f,red,gold,diamond
jewelry.ring,1.0,109.45,f,red,gold,garnet
jewelry.pendant,0.0,130.0,f,red,gold,amethyst
jewelry.earring,1.0,98.37,f,red,gold,fianit
jewelry.ring,1.0,220.95,f,red,gold,diamond
jewelry.earring,0.0,776.0,f,red,gold,diamond
jewelry.bracelet,0.0,162.16,f,red,gold,diamond
jewelry.ring,2.0,125.89,f,white,gold,diamond
jewelry.earring,0.0,246.44,f,red,gold,fianit
jewelry.brooch,2.0,53.29,f,red,gold,diamond
jewelry.pendant,0.0,95.75,f,red,gold,garnet
